DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2019-03-01,17,14,38,13,16,16,0,54,10,1021,6,17,6,11,116,113,113,météo correcte
2019-03-02,16,11,36,11,14,16,0,63,10,1019,10.5,16,6,9,116,116,116,météo correcte
2019-03-03,16,12,14,11,15,13,0,62,10,1021,6.5,16,8,10,116,116,116,météo correcte
2019-03-04,16,14,32,13,15,15,0.1,82,10,1017,22.375,16,11,13,116,116,116,météo correcte
2019-03-05,15,12,23,12,14,14,0,53,10,1017,18.25,15,5,10,116,116,116,météo correcte
2019-03-06,15,13,41,12,14,14,0,79,10,1016,43.625,15,11,11,116,116,122,météo correcte
2019-03-07,15,13,24,13,14,14,1.6,63,9.375,1015,40.75,15,11,11,263,116,116,météo correcte
2019-03-08,15,13,22,12,14,14,0,65,10,1023,6.875,15,6,12,116,116,116,météo correcte
2019-03-09,15,12,26,11,14,14,0,65,10,1026,13.625,17,10,10,116,116,116,météo correcte
2019-03-10,18,14,40,13,17,17,0,77,10,1025,22.125,18,10,13,116,116,116,météo favorable
2019-03-11,15,12,46,12,13,13,0,52,10,1028,3,15,6,8,116,113,116,météo correcte
2019-03-12,13,9,13,8,12,13,0,49,10,1029,13.75,13,6,8,116,116,116,météo correcte
2019-03-13,14,11,44,11,13,14,0,56,10,1021,19.5,14,9,8,116,113,116,météo correcte
2019-03-14,14,11,48,10,13,13,0,54,10,1022,22,14,5,7,116,116,116,météo correcte
2019-03-15,18,14,40,12,17,17,0,62,10,1020,10.375,18,7,13,116,116,116,météo favorable
2019-03-16,17,13,30,12,16,16,0,63,10,1020,0.5,17,8,11,113,113,113,météo correcte
2019-03-17,16,13,28,13,15,16,0,78,17.625,1016,7.875,17,10,11,113,116,116,météo correcte
2019-03-18,12,9,51,8,11,11,0,50,20,1019,3.75,12,1,4,116,116,113,météo défavorable
2019-03-19,13,10,13,8,12,12,0,48,11.25,1025,14.875,13,1,8,116,116,116,météo correcte
2019-03-20,14,12,17,11,14,14,0,49,10,1029,10.25,14,3,12,116,116,116,météo correcte
2019-03-21,17,13,10,12,16,16,0,44,10,1030,1,17,6,12,113,113,113,météo correcte
2019-03-22,19,16,12,14,19,17,0,46,10,1029,1.625,19,7,16,113,113,116,météo favorable
2019-03-23,20,15,9,13,19,18,0,50,10,1028,27.5,20,6,15,116,116,116,météo favorable
2019-03-24,20,18,12,17,20,18,0,45,10,1025,2.125,20,7,18,113,116,113,météo favorable
2019-03-25,16,14,54,13,15,15,0,59,10,1021,2.5,16,8,11,116,116,113,météo correcte
2019-03-26,14,12,16,11,13,13,1.1,44,9.375,1023,34.625,15,4,10,116,263,116,météo correcte
2019-03-27,15,13,14,12,15,15,0,46,10,1027,4.5,15,5,13,116,116,116,météo correcte
2019-03-28,15,14,15,13,15,14,0,52,18.375,1028,4.5,15,5,13,116,116,116,météo correcte
2019-03-29,16,14,18,12,16,14,0,49,20,1030,6.25,16,5,13,116,113,116,météo correcte
2019-03-30,15,13,15,12,15,15,0,55,20,1029,9.25,15,7,12,116,116,116,météo correcte
2019-03-31,16,15,11,14,16,16,0,50,11.25,1023,6.25,16,8,15,116,116,116,météo correcte
